Approved Symbol	Synonyms	UniProt ID(supplied by UniProt)
TRIM37	KIAA0898, POB1, TEF3	O94972
MUSK		O15146
MUT		P22033
MUTYH	MYH	Q9UIF7
MVD	MPD	P53602
MVK	LRBP, MK	Q03426
MVP	LRP, VAULT1	Q14764
MX1	IFI-78K, MxA	P20591
MX2	MXB	P20592
MXI1	MXD2, MAD2, MXI, bHLHc11	P50539
MXRA5	DKFZp564I1922	Q9NR99
MXRA7	FLJ46603, TMAP1, PS1TP1	P84157
MXRA8	DKFZp586E2023	Q9BRK3
MYADM		Q96S97
MYB	c-myb	P10242
MYBBP1A	P160, PAP2, FLJ37886	Q9BQG0
MYBL1	AMYB, A-myb	P10243
MYBL2	BMYB, B-MYB	P10244
MYBPC1		Q00872
MYBPC2	MYBPCF, MYBPC, MGC163408	Q14324
MYBPC3	MYBP-C, FHC	Q14896
MYBPH		Q13203
MYC	c-Myc, bHLHe39, MYCC	P01106
MYCBP	AMY-1	Q99417
MYCL	LMYC, bHLHe38	P12524
MYCLP1		P12525
MYCLP3		
MYCLK1		
MYCN	bHLHe37, N-myc, MYCNOT	P04198
MYD88		Q99836
MYEOV	OCIM	Q96EZ4
MYF5	bHLHc2	P13349
MYF6	MRF4, bHLHc4	P23409
MYH1	MYHSA1, MYHa, MyHC-2X/D, MGC133384	P12882
MYH10	NMMHCB	P35580
MYH11	SMMHC, SMHC	P35749
MYH13	MyHC-eo	Q9UKX3
MYH2	MYH2A, MYHSA2, MyHC-IIa, MYHas8, MyHC-2A	Q9UKX2
MYH3	MYHC-EMB, MYHSE1, HEMHC, SMHCE	P11055
MYH4	MYH2B, MyHC-2B, MyHC-IIb	Q9Y623
MYH6		P13533
MYH7	CMD1S	P12883
MYH8	MyHC-peri, MyHC-pn	P13535
MYH9	NMMHCA, NMHC-II-A, MHA, FTNS, EPSTS	P35579
MYHK		
MYL1		P05976
MYL2	CMH10	P10916
MYL3	CMH8, VLC1, MLC1V, MLC1SB	P08590
MYL4	ALC1, AMLC, GT1, PRO1957	P12829
MYL5		Q02045
MYL6	ESMLC, MLC3NM, MLC1SM	P60660
MYL6P1		
MYL8P	BING3	
MYLK	MLCK, smMLCK, MYLK1, MLCK1	Q15746
MYLKP1		
MYLL1		
MYO10	KIAA0799	Q9HD67
MYO15A		Q9UKN7
MYO1A		Q9UBC5
MYO1B	myr1	O43795
MYO1C	myr2	O00159
MYO1D	KIAA0727, myr4, PPP1R108	O94832
MYO1E	MYO1C, HuncM-IC, MGC104638	Q12965
MYO1F		O00160
MYO3A		Q8NEV4
MYO5A	MYO5, GS1, MYR12	Q9Y4I1
MYO5B	KIAA1119	Q9ULV0
MYO5C	MGC74969	Q9NQX4
MYO6	KIAA0389	Q9UM54
MYO7A	NSRD2	Q13402
MYO7B		Q6PIF6
MYO9A	FLJ11061, FLJ13244, MGC71859	B2RTY4
MYO9B		Q13459
MYOC	TIGR, JOAG1	Q99972
MYOD1	PUM, MYOD, bHLHc1	P15172
MYOG	bHLHc3	P15173
MYOM1		P52179
MYOM2		P54296
MYP1		
MYP2		
MYP3		
PPP1R12A	MBS, M130	O14974
PPP1R12B	MGC87886, MGC131980, PP1bp55	O60237
MYSA		
MYT1	MTF1, MYTI, ZC2HC4A, NZF2	Q01538
MYT1L	KIAA1106, NZF1, ZC2HC4B	Q9UL68
NAB1		Q13506
NAB2	MADER	Q15742
NACA	NACA1	E9PAV3
NAGA	D22S674	P17050
NAGLU	NAG	P54802
NAIP	NLRB1	Q13075
NAP1L1	NRP, NAP1, NAP1L, MGC8688, MGC23410	P55209
NAP1L2	BPX, MGC26243	Q9ULW6
NAP1L3	MB20, NPL3, MGC26312	Q99457
NAP1L4	NAP2	Q99733
NAPA		P54920
NAPG		Q99747
NARS	NARS1	O43776
NASP	FLB7527, FLJ31599, FLJ35510, MGC19722, MGC20372, MGC2297, DKFZp547F162, PRO1999	P49321
NAT1		P18440
NAT2		P11245
NBEA	KIAA1544, BCL8B, FLJ10197	
NBL1	D1S1733E, NB, DAN, NO3, DAND1	P41271
NBN	ATV, AT-V2, AT-V1	O60934
NCALD		P61601
NCAM1	NCAM, CD56	P13591
NCAM2	NCAM21, MGC51008	O15394
NCBP1	CBP80, Sto1	Q09161
NCBP2	NIP1, CBP20, Cbc2	P52298
NCF1	p47phox, NOXO2, NCF1A, SH3PXD1A	P14598
NCF2	p67phox, NOXA2	P19878
NCF4	p40phox, SH3PXD4	Q15080
NCK1	NCKalpha	P16333
NCK2	NCKbeta	O43639
NCKAP1	Nap1, HEM2, NAP125	Q9Y2A7
NCL	C23	P19338
NCOA1	SRC1, F-SRC-1, NCoA-1, KAT13A, RIP160, bHLHe74	Q15788
NCOA2	TIF2, GRIP1, NCoA-2, KAT13C, bHLHe75	Q15596
NCOA3	RAC3, AIB1, ACTR, p/CIP, TRAM-1, CAGH16, TNRC16, KAT13B, bHLHe42, SRC-3, SRC3	Q9Y6Q9
NCOA4	ARA70, RFG, ELE1, PTC3, DKFZp762E1112	Q13772
NCOR1	N-CoR, hCIT529I10, TRAC1, hN-CoR, KIAA1047, MGC104216, PPP1R109	O75376
NCOR2	SMRT, SMRTE, TRAC-1, CTG26, TNRC14	Q9Y618
NDN	HsT16328, PWCR	Q99608
NDNL2	HCA4, MAGEG1, MAGEL3, NSE3, NSMCE3	Q96MG7
NDP	norrin	Q00604
NDRG1	DRG1, RTP, TDD5, NDR1	Q92597
NDST1	NST1	P52848
NDST2	NST2, HSST2	P52849
NDST3	HSST3	O95803
NDUFA1	MWFE, CI-MWFE	O15239
NDUFA10	CI-42k	O95299
NDUFA2	B8	O43678
NDUFA3	B9	O95167
NDUFA4	MLRQ, CI-9k	O00483
NDUFA5	B13, NUFM, CI-13KD-B, UQOR13, CI-13kB	Q16718
NDUFA5P1		
NDUFA6	B14, LYRM6, CI-B14, NADHB14	P56556
NDUFA7	B14.5a	O95182
NDUFA8	PGIV, MGC793	P51970
NDUFA9	SDR22E1, CI-39k	Q16795
NDUFAB1	SDAP, FASN2A, ACP	O14561
NDUFB1	MNLL, CI-MNLL	O75438
NDUFB10	PDSW	O96000
NDUFB2	AGGG, CI-AGGG	O95178
NDUFB3	B12	O43676
NDUFB4	B15	O95168
NDUFB5	SGDH, CI-SGDH, MGC12314	O43674
NDUFB6	B17, CI	O95139
NDUFB7	B18, CI-B18, MGC2480	P17568
NDUFB8	ASHI, CI-ASHI	O95169
NDUFB9	B22, UQOR22, LYRM3	Q9Y6M9
NDUFC1	KFYI	O43677
NDUFC2	B14.5b, HLC-1	O95298
NDUFS1	CI-75k	P28331
NDUFS2	CI-49	O75306
NDUFS3	CI-30	O75489
NDUFS4	AQDQ, CI-18	O43181
NDUFS5	CI-15k	O43920
NDUFS6	CI-13kA	O75380
NDUFS7	PSST, FLJ46880, FLJ45860, CI-20	O75251
NDUFS8	TYKY, CI-23k	O00217
NDUFV1	CI-51K	P49821
NDUFV2	CI-24k	P19404
NDUFV2P1		
NDUFV3	CI-10k	P56181
NEB	NEB177D	P20929
NEDD1	GCP-WD, TUBGCP7	Q8NHV4
NEDD4	KIAA0093, MGC176705, NEDD4-1, RPF1	P46934
NEDD4L	KIAA0439, RSP5, NEDD4-2	Q96PU5
SEPT2	KIAA0158, hNedd5, Pnutl3	Q15019
NEDD8	Nedd-8	Q15843
NEDD9	HEF1, CAS-L, CASS2	Q14511
NEFM	NFM, NF-M	P07197
NEFH		P12036
NEFHP1		
NEFL	NFL, CMT1F, CMT2E, NF68, PPP1R110	P07196
NEFLL1		
NEK1	NY-REN-55, KIAA1901	Q96PY6
NEK2	NLK1, NEK2A, RP67, PPP1R111	P51955
NEK3	HSPK36, MGC29949	P51956
NEK5		Q6P3R8
NEK6	SID6-1512	Q9HC98
NELL1	IDH3GL, FLJ45906	Q92832
NELL2	NRP2	Q99435
NEO1	NGN, HsT17534, IGDCC2, NTN1R2	Q92859
NES	FLJ21841	P48681
NEU1		Q99519
NEU2	SIAL2	Q9Y3R4
NEU3		Q9UQ49
NEURL1	h-neu, RNF67, neu-1	O76050
NEUROD1	BETA2, BHF-1, NeuroD, bHLHa3, MODY6	Q13562
NEUROD2	NDRF, bHLHa1	Q15784
NEUROG1	AKA, Math4C, ngn1, bHLHa6	Q92886
NF1		P21359
NF1P3		
NF1P8		
NF1P4		
NF1P5		
NF1P6	Em:AP000532.C22.1	
NF1P1	NF1HHS	
NF2	merlin	P35240
NFAT5	TONEBP, KIAA0827, NFATL1, OREBP, NFATZ, NF-AT5	O94916
NFATC1	NF-ATC, NFATc, NFAT2	O95644
NFATC2	NF-ATP, NFATp, NFAT1	Q13469
NFATC3	NFAT4, NFATX	Q12968
NFATC4	NFAT3	Q14934
NFE2	NF-E2	Q16621
NFE2L1	NRF1, LCR-F1, FLJ00380	Q14494
NFE2L2	NRF2	Q16236
NFE2L3	Nrf3	Q9Y4A8
NFIA	NFI-L, KIAA1439	Q12857
NFIB	NFI-RED, NFIB2, NFIB3	O00712
NFIC	CTF, NF-I, CTF5	P08651
NFIL3	E4BP4, NFIL3A, NF-IL3A	Q16649
NFIX	NF1A	Q14938
NFKB1	KBF1, p105, NFKB-p50, p50, NF-kappaB, NFkappaB, NF-kB1	P19838
NFKB2	LYT-10, p52, p105, NF-kB2	Q00653
NFKBIA	IKBA, MAD-3, IkappaBalpha	P25963
NFKBIB	IKBB, TRIP9	Q15653
NFKBIE	IKBE	O00221
NFKBIL1	IKBL	Q9UBC1
TONSL	IKBR	Q96HA7
NFRKB	DKFZp547B2013, INO80G	Q6P4R8
NFX1	NFX2, MGC20369, Tex42, TEG-42	Q12986
NFYA	HAP2, CBF-B, NF-YA	P23511
NFYB	CBF-A, HAP3, NF-YB	P25208
NFYC	CBF-C, NF-YC	Q13952
NGEF	ARHGEF27	Q8N5V2
NGF		P01138
NGFR	TNFRSF16, CD271, p75NTR	P08138
NHCP1		
NHLH1	NSCL, NSCL1, bHLHa35	Q02575
NHLH2	NSCL2, bHLHa34	Q02577
NHP2L1	SNU13, FA-1, SPAG12, SNRNP15-5, 15.5K	P55769
NHS		Q6T4R5
NID1	entactin	P14543
NIDDM1		
NIDDM2		
NINJ1	NIN1	Q92982
NINJ2		Q9NZG7
NIPSNAP1		Q9BPW8
NIT1		Q86X76
NKG7	GIG1, GMP-17	Q16617
NKS1	EC-1	
NKTR	p104	P30414
NKX2-2	NKX2.2	O95096
NKX2-3	NKX2.3, CSX3, NKX4-3	Q8TAU0
NKX2-4	NKX2.4	Q9H2Z4
NKX3-1	NKX3.1, BAPX2	Q99801
NKX6-1	Nkx6.1	P78426
NM		
NMB	MGC2277, MGC3936, MGC17211	P08949
NMBR	BB1	P28336
NME1	NM23, NM23-H1, NDPKA	P15531
NME2	NM23-H2, NDPKB	P22392
NME3	DR-nm23, NM23-H3, NDPKC	Q13232
NME4	nm23-H4, NM23H4, NDPKD	O00746
NME5	nm23-H5, RSPH23	P56597
NMI		Q13287
NQO2	QR2, DHQV, DIA6	P16083
NMT1	NMT	P30419
NMT2		O60551
NMU		P48645
NNAT	Peg5	Q16517
NNMT		P40261
NNO1		
NNT		Q13423
EMC8	FAM158B	O43402
NODAL		Q96S42
NOG		Q13253
NOP2	NOP120, NSUN1, p120	P46087
NOL3	ARC, NOP30, MYP, CARD2	O60936
NOL4	NOLP, HRIHFB2255, CT125	O94818
NONO	NRB54, NMT55, P54NRB, P54, PPP1R114	Q15233
NOS1	nNOS	P29475
NOS2	iNOS, NOS, HEP-NOS	P35228
NOS2P2		
NOS2P1		
NOS3	ECNOS, eNOS	P29474
CNOT1	CDC39, NOT1H, KIAA1007, AD-005	A5YKK6
CNOT2	CDC36, NOT2H	Q9NZN8
CNOT3	NOT3H, KIAA0691, LENG2	O75175
CNOT4	CLONE243, NOT4H	O95628
NOTCH1		P46531
NOTCH2		Q04721
NOTCH3	CASIL	Q9UM47
NOTCH4		Q99466
NOV	IGFBP9, CCN3	P48745
NOVA1		P51513
NOVA2	ANOVA	Q9UNW9
NOX1	NOH1, NOH-1, MOX1, GP91-2	Q9Y5S8
NOX3	GP91-3	Q9HBY0
NOX4	KOX-1, KOX	Q9NPH5
PNP	PUNP	P00491
NPAS1	MOP5, PASD5, bHLHe11	Q99742
NPAS2	MOP4, PASD4, bHLHe9	Q99743
NPAT	E14	Q14207
NPC1		O15118
NPC1L1		Q9UHC9
NPDC1	DKFZp586J0523, CAB-, CAB1	Q9NQX5
NPEPPS	PSA, MP100	P55786
NPFF	FMRFAL	O15130
NPHP1	JBTS4, SLSN1	O15259
NPHP3	NPH3, KIAA2000, FLJ30691, FLJ36696, MKS7, SLSN3, CFAP31	Q7Z494
NPHS1	CNF, NPHN	O60500
NPIPA1	morpheus	Q9UND3
NPM1	B23, NPM	P06748
NPM1P1	NG1-1.6	
NPM1P10		
NPM1P11		
NPM1P12		
NPM1P13		
NPM1P14		
NPM1P17		
NPM1P18		
NPM1P19		
NPM1P2	NG2-6	
NPM1P3	NG3-3	
NPM1P4	NG4-5	
NPM1P5	NG5-4	
NPM1P6	NG6-4	
NPM1P7	NG7-6	
NPM1P8		
NPM1P9		
NPM2		Q86SE8
NPM3		O75607
NPPA		P01160
NPPB		P16860
NPPC	CNP	P23582
NPR1	GUCY2A, ANPa	P16066
NPR2	GUCY2B, ANPb	P20594
NPR3	GUCY2B, FLJ14054	P17342
NPTX1		Q15818
NPTX2		P47972
NPTXR		O95502
NPY	PYY4	P01303
NPY1R		P25929
NPY2R		P49146
NPY5R	NPYR5	Q15761
NPY6R	PP2, NPY1RL, NPY6RP	Q99463
NR0B1	DAX1, AHCH	P51843
NR0B2	SHP	Q15466
NR1D1	ear-1, hRev, Rev-ErbAalpha, THRA1	P20393
NR1D2	BD73, RVR, EAR-1r, HZF2, Hs.37288	Q14995
NR1H2	NER, NER-I, RIP15, LXR-b	P55055
NR1H3	LXR-a, RLD-1	Q13133
NR1H4	FXR, RIP14, HRR1, HRR-1	Q96RI1
NR1I2	ONR1, PXR, BXR, SXR, PAR2	O75469
NR1I3	MB67, CAR1, CAR	Q14994
NR1I4	CAR2	
NR2C1	TR2-11	P13056
NR2C2	TAK1, TR2R1, hTAK1	P49116
NR2E1	TLL, XTLL	Q9Y466
NR2E3	PNR, rd7, RP37	Q9Y5X4
NR2F1	EAR-3, COUP-TFI, TCFCOUP1, SVP44	P10589
NR2F2	COUP-TFII, COUPTFB, SVP40, NF-E3	P24468
NR2F6	EAR-2	P10588
NR3C1	GR	P04150
NR3C2	MR	P08235
NR4A1	TR3, N10, NAK-1, NGFIB, NUR77	P22736
NR4A2	TINUR, NOT, RNR1, HZF-3	P43354
NR4A3	CSMF, CHN, NOR1, MINOR	Q92570
NR5A1	FTZ1, SF-1, ELP, AD4BP	Q13285
NR5A2	FTZ-F1beta, hB1F, LRH-1, FTZ-F1, hB1F-2, B1F2	O00482
NR6A1	GCNF1, RTR, CT150	Q15406
NRAP		Q86VF7
NRAS	N-ras	P01111
NRBP1	BCON3, MUDPNP, MADM	Q9UHY1
NRCAM	KIAA0343, Bravo	Q92823
NRD1	hNRD1, hNRD2	O43847
NRF1	EWG, ALPHA-PAL	Q16656
NRG1	HRG, NDF, GGF	Q02297
NRG2	Don-1, NTAK, HRG2	O14511
NRG3		P56975
NRGN	RC3	Q92686
NRIP1	RIP140	P48552
NRL	D14S46E, RP27, NRL-MAF	P54845
NRM	NRM29	Q8IXM6
NRP1	NRP, VEGF165R, CD304	O14786
NRP2	VEGF165R2	O60462
NRTN	NTN	Q99748
NRXN1	KIAA0578, Hs.22998	P58400
NRXN2		P58401
NRXN3	KIAA0743	Q9HDB5
CNTNAP1	p190, Caspr, CNTNAP	P78357
HMGN5		P82970
YBX1	YB-1, YB1, DBPB, NSEP-1, MDR-NF1, BP-8, CSDB, CSDA2	P67809
YBX1P1	PSDBPB1	
NSF	SKD2	P46459
NSMAF	FAN	Q92636
NT3		
NT5E	CD73, eN, eNT, CALJA	P21589
NT5C2	PNT5, GMP, cN-II, SPG65	P49902
NTF3	NGF2	P20783
NTF4	NT-4/5, GLC1O	P34130
NTF6A	PSI-NT4, NTF5P	
NTF6B		
NTF6G		
NTHL1	NTH1, OCTS3	
NTN1	NTN1L	O95631
NTN3		O00634
NTRK1	TRK, TRKA, MTC	P04629
NTRK2	TRKB	Q16620
NTRK3	TRKC	Q16288
NTS		P30990
NTSR1	NTR	P30989
NTSR2	NTR2	O95665
NUBP1	NBP35	P53384
NUBP2	CFD1	Q9Y5Y2
NUCB1	NUC, Calnuc	Q02818
NUCB2	NEFA	P80303
NUDC	NudC	Q9Y266
NUDCP1		
NUDCP2		
NUDT1		P36639
NUDT2		P50583
NUDT3	DIPP	O95989
NUDT4	DIPP2, HDCMB47P, KIAA0487, DIPP2alpha, DIPP2beta	Q9NZJ9
NUDT5	hYSAH1, YSA1H	Q9UKK9
NUDT6	gfg-1, gfg, FGF2AS, FGF-AS	P53370
NUDT7		P0C024
NUDT8	FLJ41567	Q8WV74
NUDT9	MGC3037	Q9BW91
NUFIP1	NUFIP	Q9UHK0
NUFIP1P		
NUMA1		Q14980
NUMB		P49757
NUMBL	NUMB-R, CTG3a, CAG3A, TNRC23, NUMBR, NUMBLIKE	Q9Y6R0
NUP153	HNUP153	P49790
NUP155	KIAA0791, N155	O75694
NUP214	CAIN, CAN, D9S46E, N214	P35658
NUP50		Q9UKX7
NUP62	p62, DKFZp547L134, IBSN, SNDI, MGC841, FLJ20822, FLJ43869	P37198
NUP88	MGC8530	Q99567
NUP98	NUP96	P52948
NVL		O15381
NXF1	TAP, Mex67, DKFZp667O0311	Q9UBU9
NXF2	CT39, TAPL-2	Q9GZY0
NXF3		Q9H4D5
NXF4		
NXF5		Q9H1B4
NXPH2	NPH2	O95156
NXPH3	NPH3	O95157
NXPH4	NPH4	O95158
FRMD7	FLJ43346	Q6ZUT3
NYS2	NYSA	
NYS3	CN	
NYX	CLRP, CSNB1A	Q9GZU5
OA3		
OAP		
OAS1	OIASI, IFI-4	P00973
OAS2		P29728
OAS3		Q9Y6K5
OASD		
OASL	TRIP14, p59OASL	Q15646
OAT	HOGA	P04181
TBC1D25		Q3MII6
OATP1		
OAZ1	AZI, MGC138338	P54368
OAZ2		O95190
OAZ3		Q9UMX2
OC90		Q02509
OCA2	BEY2, EYCL, BEY, BEY1	Q04671
OCLM		Q9Y5M6
OCLN	PPP1R115	Q16625
OCM	OCM1	P0CE72
OCRL	OCRL1	Q01968
ODC1	ODC	P11926
ODCP		
OSR1		Q8TAX0
ODF1	ODFPG, ODF27, RT7, HSPB10, CT133	Q14990
ODF2	ODF84, CT134	Q5BJF6
TENM1	TEN-M1	Q9UKZ4
OED		
OFC1		
OFC2		
OFC3		
OGDH	E1k	Q02218
OGG1	HMMH, HOGG1, OGH1, MUTM	O15527
OGN	mimecan, OIF, SLRR3A	P20774
OGT	O-GLCNAC, HRNT1, MGC22921, FLJ23071	O15294
OLR1	LOX-1, SCARE1, CLEC8A	P78380
OMD	osteoadherin, SLRR2C	Q99983
OMG	OMGP	P23515
OMP		P47874
ONECUT1	HNF-6	Q9UBC0
ONECUT2	OC-2	O95948
OPA1	NTG, KIAA0567, FLJ12460, NPG, MGM1	O60313
OPA2		
OPA3	FLJ22187, MGA3	Q9H6K4
OPCML	OPCM, OBCAM, IGLON1	Q14982
OPEM		
OPHN1	OPN1, ARHGAP41	O60890
OPLAH	OPLA, 5-Opase	O14841
OPRD1		P41143
OPRK1	KOR, OPRK	P41145
OPRL1	NOCIR, ORL1, OOR, KOR-3	P41146
OPRM1	MOR1	P35372
SIGMAR1	SR-BP1	Q99720
OPTC		Q9UBM4
OR10A2	OST363	Q9H208
OR10A3	HTPCRX12, HSHTPCRX12	P58181
OR10B1P		
OR10C1	hs6M1-17, OR10C1P	Q96KK4
OR10D1P	OST074, HTPCRX03	
OR10D3	HTPCRX09	Q8NH80
OR10G1P		
OR10G2		Q8NGC3
OR10G3		Q8NGC4
OR10H1		Q9Y4A9
OR10H2		O60403
OR10H3		O60404
OR10J1	HGMP07J, HSHGMP07J	P30954
OR11A1	hs6M1-18	Q9GZK7
OR12D1	hs6M1-19	
OR12D2	hs6M1-20	P58182
OR1A1	OR17-7	Q9P1Q5
OR1A2	OR17-6	Q9Y585
OR1B1	OR9-B	Q8NGR6
OR1C1	TPCR27, HSTPCR27	Q15619
OR1D2	OR17-4	P34982
OR1D3P	OR17-23, OR11-13, OR11-22	
OR1D4	OR17-30	P47884
OR1D5	OR17-31	P58170
OR1E1	OR17-2, HGM071, OR17-32, OR13-66	P30953
OR1E2	OR17-93, OR17-135	P47887
OR1E3	OR17-210	Q8WZA6
OR1F1	Olfmf, OR16-36, OR16-37, OR16-88, OR16-89, OR16-90, OLFMF, OR3-145	O43749
OR1F2P	OLFMF2	Q96R84
OR1G1	OR17-209	P47890
OR1H1P	OST26	
OR1I1	OR1I1P, OR19-20, OR1I1Q	O60431
OR1J1	hg32	Q8NGS3
OR1J2	OST044	Q8NGS2
OR1J4	HTPCRX01, HSHTPCRX01	Q8NGS1
OR1K1	hg99, MNAB	Q8NGR3
OR1L1	OR9-C	Q8NH94
OR1L3	OR9-D	Q8NH93
OR1L4	OR9-E	Q8NGR5
OR1L6		Q8NGR2
OR1M1	OR19-6	Q8NGA1
OR1N1	OR1-26	Q8NGS0
OR1P1	OR17-208	Q8NH06
OR1Q1	OST226, OR9-A, HSTPCR106, OST226OR9-A, TPCR106	Q15612
OR1R1P	OR17-1	
OR1S1	OST034	Q8NH92
OR2A1		Q8NGT9
OR2A2	OST008	Q6IF42
OR2A3P		
OR2A5	OR7-138, OR7-141	Q96R48
OR2A7	HSDJ0798C17	Q96R45
OR2A9P	HSDJ0798C17	
OR2B3	OR6-4	O76000
OR2B4P	hs6M1-22	
OR2B6	OR6-31, dJ408B20.2, OR5-40, OR5-41	P58173
OR2C1	OLFmf3	O95371
OR2D2	OR11-610, hg27	Q9H210
OR2F1	OLF3, OR7-140, OR7-139, OR14-60	Q13607
OR2F2	OR7-1	O95006
OR2G1P	OST619, hs6M1-25	
OR2H1	OR6-2	Q9GZK4
OR2H2	hs6M1-12	O95918
OR2H4P	OR6-3, OR2H4, hs6M1-7, dJ80I19.6	
OR2H5P	OR2H5, hs6M1-13, HS271M21	
OR2I1P	HS6M1-14	Q8NGU4
OR2J1	OR6-5, hs6M1-4, dJ80I19.2	Q9GZK6
OR2J2	OR6-8, hs6M1-6, dJ80I19.4	O76002
OR2J3	OR6-6	O76001
OR2J4P	OR6-9, hs6M1-5, dJ80I19.5	
OR2K2	HTPCRH06, HSHTPCRH06	Q8NGT1
OR2L1P	HTPCRX02, HSHTPCRX02	
OR2L2	HTPCRH07, HSHTPCRH07	Q8NH16
OR2M1P	OST037	
OR2M2	OST423, OR2M2Q	Q96R28
OR2M3	OST003	Q8NG83
OR2M4	HTPCRX18, TPCR100, HSHTPCRX18, OST710	Q96R27
OR2N1P	OR6-7	
OR2P1P	hs6M1-26	
OR2Q1P	OR7-2	
OR2R1P	OST058	
OR2S1P	OST611	
OR2S2		Q9NQN1
OR2T1	OR1-25	O43869
OR2U1P	hs6M1-24	
OR2U2P	hs6M1-23	
OR2V1	OST265	Q8NHB1
OR2W1	hs6M1-15	Q9Y3N9
OR3A1	OLFRA03, OR40, OR17-40	P47881
OR3A2	OLFRA04, OR228, OR17-228	P47893
OR3A3	OR17-201, OR17-137, OR17-16	P47888
OR3A5P	OLFRA06, OR25, OR17-25, RP11-64J4.6-001	
OR4A1P	OR11-30	
OR4B1	OST208	Q8NGF8
OR4B2P	hg449	
OR4C1P	HTPCRX11, HSHTPCRX11	
OR4D1	TPCR16	Q15615
OR4D2		P58180
OR4E1		P0C645
OR4E2		Q8NGC2
OR4F1P	HSDJ0609N19	
OR4F2P	OR4F2, hs6M1-11, S191N21	
OR4F3		Q6IEY1
OR4F4	OR4F18	Q96R69
OR4G1P	OLB	
OR4G2P		
OR4G3P	OLC, OLC-7501	
OR4H6P	OR15-71, OR4H6, OR15-82, OR4H9, OR5-39, OR5-84, OR4-114, OR4-115, OR4-119, OR15-69, OR15-80, OR15-81, OR14-58	
OR51A1P		
OR52A1	HPFH1OR	Q9UKL2
OR5A1	OST181	Q8NGJ0
OR5B10P	OR13-67, OR13-34, OR13-64	
OR5B1P	OR8-122, OR8-123, OR6-57, OR6-55, OR3-144, OR912-92	
OR5B2	OST073	Q96R09
OR5B3	OST129	Q8NH48
OR5C1	OR9-F, hRPK-465_F_21	Q8NGR4
OR5D2P	OR11-7a, OR912-91, OR8-127, OR912-47, OR18-44, R5D9P, OR18-17, OR18-42, OR18-43, OR912-94, OR8-125	
OR5D3P	OR11-8b, OR11-8c	
OR5E1P	TPCR24, HSTPCR24	
OR5F1	OR11-10	O95221
OR5G1P	OR11-104, OR93	
OR5H1	HTPCRX14, HSHTPCRX14	A6NKK0
OR5I1	HSOlf1, OLF1	Q13606
OR5J1P	HTPCRH02	
OR5K1	HTPCRX10, HSHTPCRX10	Q8NHB7
OR5L1	OST262	Q8NGL2
OR5L2	HTPCRX16, HSHTPCRX16	Q8NGL0
OR5M1	OST050	Q8NGP8
OR6B1	OR7-3	O95007
OR6C1	OST267	Q96RD1
OR7A10		O76100
OR7A11P	OST527	
OR7A15P	OR19-134, OR19-1, OR19-146	
OR7A17	HTPCRX19	O14581
OR7A1P	OR19-3, OLF4p, hg513	
OR7A3P	OR11-7b, OR19-12, OR14-59, OR14-11	
OR7A5	HTPCR2	Q15622
OR7A2P	hg1003, OR19-18, OLF4p	Q8NGA2
OR7A8P	OST042, HG83, OR19-11	
OR7C1	OR19-5	O76099
OR7C2	OR19-18	O60412
OR7D1P	OR19-A	
OR7D2	OR19-4, HTPCRH03, FLJ38149	Q96RA2
OR7D4	hg105, OR19-B	Q8NG98
OR7E10P	OR11-1	
OR7E11P	OR11-2	
OR7E12P	OR11-3	
OR7E13P	OR11-4	
OR7E14P	OR11-5	
OR7E15P	OR11-392, OST001	
OR7E16P	OR19-133, OR19-9	
OR7E18P	OR19-14, TPCR26	
OR7E19P	OR19-7	
OR7E1P		
OR7E21P	OR4DG, OST035	
OR7E22P	OR6DG, OR3.6	
OR7E23P	OR21-3	
OR7E24	OR19-8, HSHT2, OR7E24Q	Q6IFN5
OR7E25P	OR19-C, CIT-B-440L2	
OR7E26P	OR1-51, OR1-72, OR1-73, OR912-95	
OR7E28P	OST128, hg616	
OR7E29P	OST032	
OR7E2P	OR11-6, hg94	
OR7E31P	OST205	
OR7E33P	hg688	
OR7E35P	OST018	
OR7E36P	OST024	
OR7E37P	hg533	
OR7E38P	OST127	
OR7E39P	hg611	
OR7E41P	OR11-20, hg84, OR8-126	
OR7E43P	OR4-116	
OR7E46P	OST379, MCEEP	
OR7E47P	OR7E141	
OR7E4P	OR11-11a	
OR7E53P	OR3-143, OR3-142	
OR7E55P	OR2DG, OR3.2, OST013	
OR7E59P	OST119	
OR7E5P	OR11-12, FLJ31393	
OR7E62P	OR7E62, OR2-53, OR7E63, OR7E64	
OR7E66P	hg630, HG630, OR3DG, OR3.3	
OR7E7P		
OR7E8P	OR11-11a	
OR7G1	OR19-15	Q8NGA0
OR7G2	OST260	Q8NG99
OR7G3	OST085	Q8NG95
OR7H1P	OR7H1	
OR8A1	OST025	Q8NGG7
OR8B1P	OR11-561	
OR8B2		Q96RD0
OR8B3		Q8NGG8
OR8B4		Q96RC9
OR8B5P		
OR8B6P		
OR8B7P		
OR8B8	TPCR85	Q15620
OR8C1P	OR11-175, OR912-45, OR912-106	
OR8D1	OST004	Q8WZ84
OR8D2		Q9GZM6
OR8G1	TPCR25, HSTPCR25	Q15617
OR8G2	TPCR120, HSTPCR120, ORL206, ORL486	Q15614
OR9A1P	HTPCRX06, HSHTPCRX06	Q8NGU1
